no,content,kategori,topik
14,Program Gelar Ganda Internasional (Double Degree) adalah penyelenggaraan dua program studi berbeda dengan jenjang sama untuk menghasilkan dua gelar (S-1 atau S-2) dengan perguruan tinggi mitra luar negeri.,Definisi,Double Degree
15,English Synergy Program (ESyP) adalah program pendampingan peningkatan bahasa Inggris bagi mahasiswa kelas internasional selama satu tahun pertama (Tingkat I). BIPA adalah program serupa untuk mahasiswa non-penutur asli Bahasa Indonesia.,Definisi,ESyP dan BIPA
16,Global Learning Week (GLOW) adalah program perkuliahan khusus di semester antara untuk mahasiswa kelas internasional dengan pengajar dari universitas mitra luar negeri.,Definisi,Global Learning Week
17,"Pembelajaran Bauran (Blended Learning) adalah inovasi pembelajaran yang mengombinasikan dua atau lebih bentuk pembelajaran, misalnya tatap muka dan daring.",Definisi,Blended Learning
18,CeLOE LMS (Learning Management System) merupakan platform pembelajaran daring bagi program studi reguler dan PJJ di Universitas Telkom.,Definisi,CeLOE LMS
19,Program Siap-Kerja (Work-Ready Programs / WRAP) adalah program pembelajaran untuk mempersiapkan lulusan yang siap kerja sesuai kompetensi dan profil lulusan program studi.,Definisi,WRAP
20,Surat Keterangan Pendamping Ijazah (SKPI) adalah dokumen yang diterbitkan Universitas memuat informasi tentang pemenuhan kompetensi lulusan di luar nilai akademik.,Definisi,SKPI
21,"English Proficiency Test (EPrT) adalah tes untuk mengukur kecakapan berbahasa Inggris mencakup listening, grammar, dan reading, yang dikembangkan oleh Pusat Bahasa Universitas.",Definisi,EPrT
22,Registrasi adalah proses administrasi akademik setiap awal semester untuk mengesahkan status mahasiswa aktif dan mengesahkan rencana studi pada semester tersebut.,Definisi,Registrasi Akademik
23,Kartu Studi Mahasiswa (KSM) adalah Kartu Rencana Studi (KRS) yang wajib dimiliki mahasiswa aktif sebagai bukti sah bahwa proses registrasi semester telah tuntas. KSM berisi jadwal perkuliahan dan diunduh saat registrasi awal semester.,Definisi,KSM dan KRS
24,Perubahan Rencana Studi (PRS) adalah proses pencatatan administratif mengenai perubahan terhadap rencana studi yang diambil mahasiswa pada proses registrasi sebelumnya.,Definisi,Perubahan Rencana Studi
25,Mahasiswa Aktif adalah mahasiswa yang sedang melaksanakan studi dalam suatu semester berjalan. Mahasiswa Nonaktif adalah mahasiswa yang tidak melakukan registrasi pada semester berjalan.,Definisi,Status Aktif Mahasiswa
26,Mahasiswa Cuti adalah mahasiswa yang sedang mengambil cuti akademik berdasarkan izin pimpinan UPPS.,Definisi,Status Cuti
27,"Kurikulum minimal mencakup capaian pembelajaran lulusan, masa studi normal, metode dan modalitas pembelajaran, syarat kompetensi calon mahasiswa, penilaian hasil belajar, materi pembelajaran, dan tata cara penerimaan mahasiswa.",Definisi,Kurikulum
28,"Satuan Kredit Semester (SKS) adalah satuan ukuran beban belajar mahasiswa, beban kerja dosen, pengalaman belajar, dan beban penyelenggaraan program.",Definisi,SKS
29,Semester adalah satuan waktu kegiatan pembelajaran yang efektif selama 16 minggu.,Definisi,Semester
30,Outcome Based Education (OBE) adalah sistem pendidikan yang berfokus pada capaian pembelajaran yang diimplementasikan dalam kurikulum.,Definisi,OBE
31,"Capaian Pembelajaran Lulusan (CPL / Program Learning Outcome) adalah hasil belajar yang diperoleh mahasiswa setelah menyelesaikan program studi, dirumuskan mengacu pada KKNI dan Standar Nasional Pendidikan Tinggi.",Definisi,CPL / PLO
32,Indeks Prestasi Semester (IPS) adalah hasil penilaian capaian pembelajaran mahasiswa dalam satu semester. Indeks Prestasi Kumulatif (IPK) adalah hasil penilaian dari awal studi hingga semester tertentu.,Definisi,IPS dan IPK
33,Fast Track adalah skema studi yang memungkinkan mahasiswa menyelesaikan dua jenjang pendidikan (Sarjana dan Magister) dalam waktu lebih singkat dari waktu normal.,Definisi,Fast Track
34,Yudisium adalah penetapan kelulusan mahasiswa oleh Dekan berdasarkan terpenuhinya seluruh syarat akademik dan administratif.,Definisi,Yudisium
35,Program Diploma Tiga dirancang menghasilkan lulusan berkualifikasi ahli madya yang kompeten di bidang teknologi terapan dengan kemampuan adaptif terhadap perkembangan industri.,Akademik,Kompetensi Lulusan D3
36,"Program Sarjana/Sarjana Terapan dirancang menghasilkan lulusan yang mampu menerapkan ilmu pengetahuan dan teknologi dengan kemampuan berpikir kritis, inovatif, dan bertanggung jawab.",Akademik,Kompetensi Lulusan Sarjana
37,"Gelar akademik lulusan mengikuti ketentuan tentang rumpun ilmu pengetahuan, teknologi, dan seni yang ditetapkan pemerintah, dan ditetapkan oleh Rektor berdasarkan rekomendasi senat UPPS.",Akademik,Gelar Akademik
38,"Predikat Memuaskan diberikan jika IPK 2,76 – 3,00; Sangat Memuaskan jika IPK 3,01 – 3,50; dan Pujian (Cum Laude) jika IPK > 3,50 dengan masa studi normal, tanpa nilai D/E, tanpa pengulangan mata kuliah, dan tanpa sanksi akademik.",Akademik,Predikat Lulusan
39,"Lulusan yang memenuhi syarat IPK dan masa studi untuk predikat Summa Cum Laude atau Cum Laude, tetapi tidak memenuhi kriteria tambahan, mendapatkan predikat satu tingkat di bawahnya.",Akademik,Predikat Lulusan
40,"Ijazah diterbitkan bersama transkrip akademik dan SKPI, ditandatangani secara digital (digital signature) oleh pimpinan UPPS dan Rektor, memuat informasi jati diri lulusan dan program studi.",Akademik,Ijazah dan Transkrip
41,"Mahasiswa wajib memenuhi standar skor minimum kecakapan Bahasa Inggris (EPrT/TOEFL/IELTS) sebelum kelulusan. Nilai minimum berbeda per jenjang: Diploma/Sarjana min. 400, Magister min. 450, Doktor min. 500.",Akademik,Syarat Bahasa Inggris Kelulusan
42,"Satu SKS setara kegiatan tatap muka 50 menit + penugasan terstruktur 60 menit + kegiatan mandiri 60 menit per minggu per semester. Untuk praktikum/studio/bengkel, 1 SKS = 170 menit per minggu per semester.",Akademik,Definisi Beban 1 SKS
43,"Beban belajar dan masa studi: Diploma III = 108 SKS (normal 6 semester, maks 10 semester); Sarjana/Sarjana Terapan = 144 SKS (normal 8 semester, maks 14 semester); Magister = 36 SKS (normal 4 semester, maks 8 semester); Doktor = 42 SKS (normal 6 semester, maks 14 semester).",Akademik,Beban SKS dan Masa Studi
44,"Beban belajar per semester untuk mahasiswa Sarjana ditentukan oleh IPS semester sebelumnya. Jika IPS <= 3,00 kuota maksimal 20 SKS, dan jika IPS > 3,00 kuota maksimal 24 SKS.",Akademik,Aturan Beban SKS per Semester
45,"Satu tahun akademik terdiri dari Semester Ganjil dan Semester Genap, masing-masing efektif 16 minggu. Dapat diselenggarakan Semester Antara di antara keduanya.",Akademik,Sistem Semester
46,Semester Antara diselenggarakan minimal 8 minggu dengan beban belajar maksimal 9 SKS. Semester Antara diperuntukkan bagi mahasiswa yang ingin mempercepat studi atau memperbaiki nilai.,Akademik,Semester Antara
47,"Bentuk kegiatan pembelajaran meliputi: kuliah, responsi/tutorial, seminar, praktikum/studio/bengkel, penelitian, pengabdian kepada masyarakat, pertukaran mahasiswa, magang/praktik kerja, studi/proyek independen, dan asistensi mengajar.",Akademik,Bentuk Kegiatan Pembelajaran
48,"Mahasiswa dapat mengambil beban belajar di luar program studi dalam rangka MBKM (Merdeka Belajar Kampus Merdeka), maksimal 40 SKS dari total beban studi.",Akademik,Beban Belajar MBKM
49,"WRAP (Work-Ready Programs) adalah program BKP yang dapat dilaksanakan mulai semester 6, meliputi: Kerja Praktik, Magang/Praktik Kerja, Studi/Proyek Independen, Asistensi Mengajar, Riset/Penelitian, Membangun Desa, Pertukaran Mahasiswa, dan Wirausaha.",Akademik,Bentuk BKP WRAP
50,Kerja Industri adalah BKP Kerja Praktik dengan durasi 1 semester (6 bulan) yang dapat dikonversi 20 SKS. Kerja Praktik reguler minimal 1 bulan.,Akademik,Kerja Praktik / Kerja Industri
51,"Rekognisi Pembelajaran Lampau (RPL) adalah pengakuan capaian pembelajaran dari pendidikan formal, nonformal, informal, dan/atau pengalaman kerja. RPL terdiri dari dua skema: Transfer SKS dan Perolehan SKS.",Akademik,Rekognisi Pembelajaran Lampau (RPL)
52,"Pembelajaran Bauran pada program reguler mengutamakan pembelajaran berbasis ruang tradisional, dan menggunakan CeLOE LMS untuk komponen daring. Komposisi tatap muka dan daring ditetapkan oleh program studi.",Akademik,Blended Learning
53,"Strategi flipped classroom diterapkan dalam pembelajaran bauran, yaitu strategi yang berfokus pada keterlibatan mahasiswa di luar kelas (mandiri) dan aktivitas aktif saat tatap muka.",Akademik,Flipped Classroom
54,Mahasiswa Diploma Tiga wajib menyelesaikan Proyek Akhir. Mahasiswa Sarjana/Sarjana Terapan wajib menyelesaikan Skripsi. Mahasiswa Magister wajib menyelesaikan Tesis. Mahasiswa Doktor wajib menyelesaikan Disertasi.,Akademik,Jenis Tugas Akhir
55,"Pembimbing tugas akhir terdiri dari pembimbing satu (utama) dan dapat dibantu pembimbing dua, dengan persyaratan mengacu pada regulasi nasional pendidikan tinggi.",Akademik,Pembimbing Tugas Akhir
56,Mahasiswa Sarjana wajib menghasilkan minimal 1 artikel ilmiah yang telah diterima/dipublikasikan. Magister wajib 1 artikel di jurnal nasional terakreditasi atau prosiding internasional. Doktor wajib 1 artikel di jurnal internasional terindeks.,Akademik,Kewajiban Publikasi Ilmiah
57,"Fast Track Sarjana ke Magister: Persyaratan IPK minimal 3,25 pada akhir semester 6, tidak sedang dikenai sanksi akademik. Mahasiswa dapat mengambil mata kuliah Magister pada semester 7 atau 8, maksimal 9 SKS per semester.",Program Khusus,Fast Track
58,Kelas Internasional menggunakan Bahasa Inggris sebagai pengantar semua mata kuliah (kecuali MKWK). Dosen wajib memenuhi standar kompetensi Bahasa Inggris. Mahasiswa mendapatkan ESyP selama Tingkat I.,Program Khusus,Kelas Internasional
59,"Mahasiswa kelas reguler dapat pindah ke kelas internasional pada program studi yang sama dengan syarat: skor TOEFL ITP minimal 475 (ECCT 3,25), IPK minimal 3,00, paling lambat awal semester III, dan ada kapasitas tersedia.",Program Khusus,Pindah ke Kelas Internasional
60,Mahasiswa kelas internasional tidak diperkenankan pindah kembali ke kelas reguler.,Program Khusus,Larangan Pindah ke Kelas Reguler
61,PJJ (Pendidikan Jarak Jauh) diselenggarakan secara sinkron (mahasiswa dan dosen pada waktu yang sama) atau asinkron (pada waktu yang berbeda). Mahasiswa PJJ memiliki hak dan kewajiban yang sama dengan mahasiswa reguler.,Program Khusus,Pendidikan Jarak Jauh
62,Program Pendidikan Mahasiswa Paruh Waktu memungkinkan mahasiswa yang bekerja untuk mengambil beban studi lebih ringan dan menyesuaikan jadwal perkuliahan dengan jadwal pekerjaan.,Program Khusus,Mahasiswa Paruh Waktu
63,"Penilaian menggunakan skala 0–100 dengan konversi: A (80–100, bobot 4,00), AB (75–79, bobot 3,50), B (70–74, bobot 3,00), BC (65–69, bobot 2,50), C (60–64, bobot 2,00), D (45–59, bobot 1,00), E (0–44, bobot 0,00).",Penilaian,Skala Nilai dan Bobot
64,"Nilai huruf terendah untuk lulus mata kuliah jenjang Sarjana (tingkat 1–3) adalah D, kecuali mata kuliah tingkat 4, Internalisasi Budaya, dan MKWK yang minimal C.",Penilaian,Nilai Minimum Kelulusan Mata Kuliah
65,"Nilai huruf terendah untuk lulus mata kuliah: Diploma III, Sarjana Terapan, dan Magister adalah C. Untuk Doktor/Doktor Terapan adalah B.",Penilaian,Nilai Minimum Kelulusan Mata Kuliah
66,"Komponen evaluasi pembelajaran meliputi Tugas, Kuis, Forum Diskusi, Ujian Tengah Semester (UTS), dan Ujian Akhir Semester (UAS). Ujian dilaksanakan secara terjadwal dalam periode 16 minggu perkuliahan.",Penilaian,Komponen Evaluasi Pembelajaran
67,Penilaian bersifat formatif (memantau perkembangan belajar dan memberi umpan balik) dan sumatif (menentukan kelulusan akhir).,Penilaian,Jenis Penilaian
68,Evaluasi masa studi Diploma III: evaluasi dilakukan secara periodik. Mahasiswa yang tidak memenuhi syarat akan diproses melalui sidang akademik UPPS. Perpanjangan masa studi maksimal 4 semester melalui evaluasi kelayakan.,Akademik,Evaluasi Masa Studi D3
69,Evaluasi masa studi Sarjana/Sarjana Terapan dilakukan secara periodik. Mahasiswa yang tidak memenuhi syarat akan diproses melalui sidang akademik UPPS. Perpanjangan masa studi maksimal 4 semester.,Akademik,Evaluasi Masa Studi Sarjana
70,"Mahasiswa Magister yang melebihi masa studi normal mendapat: SP-1 (belum lulus akhir semester IV), SP-2 (belum lulus akhir semester V), dan SPA (belum lulus hingga habis masa studi maksimal).",Akademik,Evaluasi Masa Studi Magister
71,"Mahasiswa Doktor yang melebihi masa studi normal mendapat: SP-1 (belum lulus akhir semester VI), SP-2 (belum lulus akhir semester VIII), dan SPA (belum lulus hingga habis masa studi maksimal).",Akademik,Evaluasi Masa Studi Doktor
72,Laporan Kemajuan Studi (LKS) dikirimkan kepada mahasiswa dan/atau orang tua melalui media broadcast paling lambat satu minggu sebelum masa registrasi semester berikutnya.,Akademik,Laporan Kemajuan Studi
73,"Kartu Hasil Studi (KHS) atau Daftar Nilai Mata Kuliah dapat diterbitkan oleh UPPS berdasarkan permintaan, memuat nilai mata kuliah yang sudah lulus.",Akademik,Kartu Hasil Studi (KHS)
74,"Seleksi mahasiswa baru dilaksanakan dengan asas objektif, transparan, akuntabel, dan adil. Universitas menyediakan kuota beasiswa bagi masyarakat kurang mampu yang memenuhi persyaratan akademik.",Administrasi,Penerimaan Mahasiswa Baru
75,"Mahasiswa wajib melakukan registrasi akademik setiap awal semester, mencakup registrasi keuangan dan registrasi mata kuliah melalui sistem informasi akademik.",Administrasi,Kewajiban Registrasi
76,"Mahasiswa yang mangkir (tidak registrasi KRS/BPP) tidak boleh ikut perkuliahan. Untuk aktif kembali semester depannya, wajib izin Direktur Akademik dan membayar BPP serta Denda Mangkir semester sebelumnya.",Administrasi,Mahasiswa Non-Aktif / Mangkir
77,"Kartu Tanda Mahasiswa (KTM) berlaku sejak awal masa studi hingga berakhirnya studi mahasiswa, baik karena lulus maupun berhenti sebelum lulus. KTM dapat berupa kartu co-branding dengan perusahaan mitra.",Administrasi,Kartu Tanda Mahasiswa (KTM)
78,Sidang Akademik adalah sidang majelis dosen yang dilaksanakan oleh UPPS untuk membahas dan memutuskan kelanjutan studi mahasiswa yang bermasalah secara akademik.,Administrasi,Sidang Akademik
79,Perubahan Rencana Studi (PRS) dijadwalkan satu minggu pada minggu kedua perkuliahan. PRS pada dasarnya hanya diizinkan untuk mengurangi jumlah mata kuliah. Penambahan mata kuliah hanya diizinkan sebagai kompensasi bentrok jadwal dan harus melalui izin dosen wali dan kaprodi.,Administrasi,Perubahan Rencana Studi (PRS)
80,Perwalian adalah proses konsultasi akademik wajib setiap semester antara mahasiswa dan dosen wali. Mahasiswa yang tidak melakukan perwalian tidak dapat menyelesaikan proses registrasi.,Administrasi,Perwalian
81,"Dosen Wali berkewajiban membimbing rencana studi, memantau perkembangan, berkomunikasi dengan orang tua, serta memberikan catatan evaluasi dan saran untuk rencana studi semester berikutnya melalui sistem informasi akademik.",Administrasi,Tugas Dosen Wali
82,"Cuti akademik diijinkan maksimal 2 semester (tidak boleh berturut-turut), diajukan paling lambat saat masa PRS, dan dikenakan biaya status 10% BPP. Mahasiswa Tingkat I tidak boleh mengambil cuti akademik.",Administrasi,Cuti Akademik
83,Cuti akademik tidak menambah batas masa studi maksimal. Mahasiswa dalam status cuti tidak mendapat layanan akademik.,Administrasi,Cuti Akademik
84,"Mahasiswa Nonaktif (tidak registrasi) tidak diperkenankan mengikuti kegiatan akademik dan kemahasiswaan. Untuk aktif kembali, mahasiswa harus mengajukan permohonan disertai rekomendasi dosen wali dan kaprodi.",Administrasi,Mahasiswa Non-Aktif / Mangkir
85,Mahasiswa yang terkena sanksi skorsing dibekukan statusnya selama 1–2 semester akibat pelanggaran akademik dan/atau nonakademik.,Administrasi,Sanksi Skorsing
86,Penyediaan fasilitas dan kemudahan bagi mahasiswa penyandang disabilitas diselenggarakan sesuai ketentuan yang berlaku agar mahasiswa dapat mengikuti proses pembelajaran secara optimal.,Administrasi,Fasilitas Mahasiswa Disabilitas
87,"Mata kuliah terdiri dari: MKWK (Mata Kuliah Wajib Kurikulum nasional: Agama, Pancasila, Kewarganegaraan, Bahasa Indonesia — total 8 SKS), MKWP (Mata Kuliah Wajib Program Studi), dan MKP (Mata Kuliah Pilihan).",Kurikulum,Jenis Mata Kuliah
88,"MKWP wajib memuat capstone design atau capstone project sesuai kekhasan program studi. Seluruh mata kuliah MKWK, MKWP, dan MKP harus tercantum dalam dokumen kurikulum.",Kurikulum,MKWP dan Capstone
89,Mata Kuliah Merdeka Belajar (MKMB) adalah mata kuliah yang mendukung pelaksanaan MBKM dan dapat diambil untuk memenuhi beban belajar di luar program studi.,Kurikulum,Mata Kuliah MBKM
90,Dosen program Diploma III dan Sarjana harus berpendidikan minimal Magister dengan jabatan fungsional minimal Asisten Ahli. Dosen program Magister dan Doktor harus berpendidikan minimal Doktor.,Dosen & Tenaga Kependidikan,Kualifikasi Dosen
91,Tenaga Kependidikan harus memiliki kompetensi sesuai tugasnya dan wajib mengikuti pengembangan kompetensi secara berkala.,Dosen & Tenaga Kependidikan,Kualifikasi Tenaga Kependidikan
92,"Kebebasan Akademik adalah kebebasan sivitas akademika untuk mendalami, mengembangkan, dan menyebarluaskan ilmu pengetahuan secara bertanggung jawab, tanpa tekanan dari pihak manapun.",Akademik,Kebebasan Akademik
93,"Universitas mendukung kebebasan dosen dan mahasiswa untuk membuat pernyataan dalam pengajaran, melakukan investigasi penelitian, dan menyebarluaskan hasilnya melalui presentasi, peragaan, dan publikasi ilmiah.",Akademik,Kebebasan Akademik
94,"Pengembangan suasana akademik dilaksanakan melalui seminar, kuliah umum, diskusi ilmiah, penelitian bersama, kerja sama dengan akademisi/praktisi eksternal, dan publikasi karya ilmiah.",Akademik,Suasana Akademik
95,"Pedoman Akademik Universitas Telkom 2024 ditetapkan dengan Peraturan Universitas Nomor PU.022/AKD01/AKD-BPA/2024, ditandatangani Rektor Prof. Dr. Adiwijaya, S.Si., M.Si. pada 2 September 2024.",Regulasi,Dasar Hukum Pedoman Akademik
96,Pedoman Akademik 2024 menggantikan Peraturan Universitas Telkom Nomor PU.025/AKD1/AKD-BAA/2022 yang dinyatakan tidak berlaku sejak tanggal penetapan peraturan baru.,Regulasi,Pembaruan Pedoman Akademik
97,"Dasar hukum pedoman akademik mencakup UU No. 12/2012 tentang Pendidikan Tinggi, UU No. 20/2003 tentang Sisdiknas, PP No. 4/2014 tentang Penyelenggaraan Pendidikan Tinggi, Perpres No. 8/2012 tentang KKNI, dan berbagai Permendikbudristek terkait.",Regulasi,Landasan Regulasi Nasional
98,"Pedoman Akademik berlaku bagi seluruh mahasiswa, dosen, dan tenaga kependidikan di Universitas Telkom sebagai acuan dasar dalam perencanaan, penyelenggaraan, pemantauan, evaluasi, dan tindak lanjut kegiatan akademik.",Regulasi,Ruang Lingkup Pedoman Akademik
99,Ketentuan peralihan: mahasiswa yang sudah terdaftar sebelum Pedoman Akademik 2024 berlaku mengikuti ketentuan yang paling menguntungkan. Program studi yang belum menyesuaikan kurikulum diberi masa transisi maksimal 2 semester.,Regulasi,Ketentuan Peralihan
